date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh
2023-08-23 00:00:00,North Darfur,SD02,SD02170,Tawila,690,138
2023-08-23 00:00:00,West Kordofan,SD18,SD18029,Wad Bandah,688,137
2023-08-23 00:00:00,Blue Nile,SD08,SD08105,Ed Damazine,685,137
2023-07-12 00:00:00,River Nile,SD16,SD16010,Shendi,685,137
2023-07-12 00:00:00,White Nile,SD09,SD09048,Tendalti,685,137
2023-08-23 00:00:00,West Kordofan,SD18,SD18022,An Nuhud,681,123
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,680,136
2023-07-12 00:00:00,Northern,SD17,SD17016,Al Burgaig,680,136
2023-07-19 00:00:00,Aj Jazirah,SD15,SD15034,Al Hasahisa,675,135
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,675,135
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15035,Al Kamlin,675,135
2023-08-16 00:00:00,Aj Jazirah,SD15,SD15033,Sharg Aj Jazirah,675,135
2023-08-23 00:00:00,Kassala,SD11,SD11053,Madeinat Kassala,675,135
