date+survey,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,93,19,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,160,30,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,120,25,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,170,36,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,65,13,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,133,27,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,73,14,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,130,25,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,55,11,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,47,9,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,135,25,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,99,19,Khartoum,SD01,SD01007,Khartoum
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,134,28,North Kordofan,SD13,SD13024,Sheikan
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,129,25,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13026,Bara,134,27,Khartoum,SD01,SD01006,Um Durman
2023-05-31 00:00:00,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,177,40,Khartoum,SD01,SD01002,Um Bada
2023-05-31 00:00:00,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,154,33,Khartoum,SD01,SD01002,Um Bada
2023-05-31 00:00:00,North Kordofan,SD13,SD13027,Gebrat Al Sheikh,186,41,Khartoum,SD01,SD01002,Um Bada
